orderid:,userid:,itemid:,gmv:,order_time:,Country ,,,
1030132,64177,3366770,27.0,4/24/17,CN,,,
1030137,10475,6130641,69.0,2/2/17,TW,,,
1030147,28286,6770063,87.0,4/25/17,,,,
1030153,28282,4193426,82.0,5/11/17,,,,
1030155,64970,8825994,29.0,3/7/17,,,,
1030160,37113,5660916,44.0,1/30/17,,,,
1030168,69199,8181828,25.0,4/24/17,,,,
1030170,28074,4100907,53.0,1/22/17,,,,
1030174,51228,5068015,31.0,5/20/17,,,,
1030177,66749,7899619,57.0,2/25/17,,,,
1030179,48976,5786966,65.0,5/19/17,,,,
1030183,48622,3487797,47.0,2/20/17,,,,
1030188,33156,8582728,83.0,1/8/17,,,,
1030191,56065,6658483,52.0,3/18/17,,,,
1030194,68685,6505600,84.0,5/27/17,,,,
1030201,45871,1590652,51.0,2/18/17,,,,
1030211,40020,1838797,3.0,3/20/17,,,,
1030218,12671,2027054,64.0,2/23/17,,,,
1030225,42701,7148298,56.0,1/25/17,,,,
1030227,43808,2023181,7.0,3/20/17,,,,
1030233,55625,4222392,45.0,2/24/17,,,,
1030242,41887,8576081,76.0,1/30/17,,,,
1030245,20771,3759781,79.0,5/27/17,,,,
1030255,23355,8366551,81.0,4/26/17,,,,
1030263,32001,9004966,49.0,1/11/17,,,,
1030264,36724,5098384,72.0,1/23/17,,,,
1030268,64340,8818783,5.0,3/10/17,,,,
1030278,67475,8570909,45.0,2/8/17,,,,
1030287,44456,4279652,28.0,5/30/17,,,,
1030289,31024,1622906,33.0,4/18/17,,,,
1030294,25824,1865691,72.0,3/8/17,,,,
1030300,31191,2261136,58.0,4/13/17,,,,
1030301,37678,6008318,83.0,2/15/17,,,,
1030306,25551,8092933,34.0,1/4/17,,,,
1030316,32200,9185970,67.0,2/19/17,,,,
1030323,62589,4620654,32.0,1/21/17,,,,
1030328,18948,4441460,26.0,2/7/17,,,,
1030336,52637,5278196,6.0,1/6/17,,,,
1030337,12467,4578434,53.0,2/18/17,,,,
1030346,60618,6589609,98.0,1/13/17,,,,
1030355,45873,5640014,38.0,2/20/17,,,,
1030356,55078,6420902,55.0,3/18/17,,,,
1030360,27555,4189611,72.0,1/15/17,,,,
1030362,48758,6820972,35.0,2/14/17,,,,
1030363,51463,4622967,64.0,3/11/17,,,,
1030372,22053,4338858,35.0,2/4/17,,,,
1030377,59262,3855474,83.0,5/2/17,,,,
1030382,12206,3788995,52.0,3/8/17,,,,
1030387,36296,5093649,36.0,4/9/17,,,,
1030397,12083,6396158,27.0,2/1/17,,,,
1030407,52654,2468169,41.0,2/7/17,,,,
1030414,20390,3555543,56.0,3/4/17,,,,
1030423,13692,1520376,25.0,4/22/17,,,,
