Userid,register_time,country,,,,
10310,3/2/17,TW,,,,
10313,3/20/17,SG,,,,
10323,3/26/17,TW,,,,
10330,5/2/17,VN,,,,
10333,1/10/17,TH,,,,
10341,3/9/17,TH,,,,
10347,3/2/17,TH,,,,
10353,4/27/17,SG,,,,
10360,5/31/17,PH,,,,
10366,3/5/17,ID,,,,
10376,5/31/17,PH,,,,
10384,2/22/17,PH,,,,
10389,3/17/17,PH,,,,
10391,2/11/17,VN,,,,
10393,5/12/17,TH,,,,
10398,4/11/17,SG,,,,
10399,5/3/17,TW,,,,
10402,3/14/17,VN,,,,
10409,4/22/17,TH,,,,
10410,4/16/17,ID,,,,
10415,5/12/17,TH,,,,
10422,4/1/17,SG,,,,
10425,4/29/17,PH,,,,
10429,2/18/17,PH,,,,
10431,1/2/17,MY,,,,
10436,5/9/17,TW,,,,
10443,4/13/17,ID,,,,
10449,4/21/17,PH,,,,
10457,2/27/17,VN,,,,
10458,3/20/17,ID,,,,
10467,3/8/17,VN,,,,
10475,3/24/17,ID,,,,
10477,4/10/17,ID,,,,
10486,3/22/17,TH,,,,
10495,4/30/17,SG,,,,
10497,5/6/17,SG,,,,
10505,3/3/17,TH,,,,
10508,5/11/17,ID,,,,
10518,3/24/17,TH,,,,
10527,2/17/17,TH,,,,
10533,5/19/17,ID,,,,
10537,6/1/17,SG,,,,
10538,2/8/17,TW,,,,
10545,5/27/17,VN,,,,
10555,5/18/17,MY,,,,
10565,3/7/17,TW,,,,
10566,5/4/17,PH,,,,
10572,4/29/17,ID,,,,
10574,3/30/17,ID,,,,
10575,3/15/17,ID,,,,
10576,4/21/17,MY,,,,
10586,2/28/17,SG,,,,
10596,4/21/17,MY,,,,
10597,5/14/17,TW,,,,
10600,2/13/17,TW,,,,
10606,5/3/17,PH,,,,
10614,4/5/17,PH,,,,
10621,2/7/17,MY,,,,
10623,5/19/17,PH,,,,
10630,3/16/17,TW,,,,
10633,1/12/17,SG,,,,
10643,2/5/17,PH,,,,
10648,4/1/17,ID,,,,
10650,2/25/17,ID,,,,
10658,1/2/17,TW,,,,
10666,2/3/17,MY,,,,
10672,1/7/17,PH,,,,
10681,4/26/17,VN,,,,
10690,5/13/17,MY,,,,
10692,3/29/17,PH,,,,
10694,5/25/17,VN,,,,
10703,1/30/17,SG,,,,
10709,2/6/17,PH,,,,
10715,2/23/17,PH,,,,
10718,3/29/17,TW,,,,
10719,4/11/17,TH,,,,
10726,1/16/17,SG,,,,
10733,3/31/17,ID,,,,
10737,4/17/17,ID,,,,
